,Default Value,English,Urdu,Romanian,Persian,French,Hindi,Arabic,Panjabi,Spanish,German,Japanese,Korean,Ukrainian,Pashto,Chinese
pie.common.courseform_info,Kindly fill in the details to proceed with purchasing the course.,Kindly fill in the details to proceed with purchasing the course.,براہ کرم کورس کی خریداری کے لیے تفصیلات پُر کریں۔,Vă rugăm să completați detaliile pentru a continua cu achiziționarea cursului.,لطفاً جزئیات را پر کنید تا به خرید دوره ادامه دهید.,Veuillez remplir les détails pour continuer l'achat du cours.,कृपया पाठ्यक्रम खरीदने के लिए आगे बढ़ने के लिए विवरण भरें।,يرجى ملء التفاصيل للمتابعة مع شراء الدورة.,ਕਿਰਪਾ ਕਰਕੇ ਕੋਰਸ ਖਰੀਦਣ ਲਈ ਅੱਗੇ ਵਧਣ ਲਈ ਵੇਰਵੇ ਭਰੋ।,"Por favor, completa los detalles para proceder con la compra del curso.","Bitte füllen Sie die Details aus, um mit dem Kauf des Kurses fortzufahren.",コースを購入するために詳細を記入してください。,코스를 구매하려면 세부 정보를 입력하세요.,"Будь ласка, заповніть дані, щоб продовжити покупку курсу.",مهرباني وکړئ د کورس پیرود لپاره د پرمخ وړلو لپاره توضیحات ډک کړئ.,请填写详细信息以继续购买课程。
global.pending,pending,pending,زیر التواء,în așteptare,در انتظار,en attente,लंबित,معلق,ਬਕਾਇਆ,pendiente,ausstehend,保留中,대기 중,очікує,په تمه,待定
pie.app.enrollments,Enrollments,Enrollments,داخلے,Înscrieri,ثبت‌نام‌ها,Inscriptions,नामांकन,التسجيلات,ਦਾਖਲੇ,Inscripciones,Einschreibungen,登録,등록,Зарахування,شمولیتونه,注册人数
ticket.info.wait_payment_processing,payment is processing,payment is processing,ادائیگی کی پراسیسنگ ہو رہی ہے۔,plata este în curs de procesare,پرداخت در حال پردازش است,le paiement est en cours de traitement,भुगतान प्रक्रिया में है,الدفع قيد المعالجة,ਭੁਗਤਾਨ ਪ੍ਰਕਿਰਿਆ ਵਿੱਚ ਹੈ,el pago está en proceso,Zahlung wird verarbeitet,支払い処理中,결제가 처리 중입니다,оплата обробляється,تادیه په پروسس کې ده,付款正在处理中
ticket.content.thankyou_renewal_content,You can now continue on your learning journey. Your payment has been processed.,You can now continue on your learning journey. Your payment has been processed.,آپ اب اپنی تعلیمی سفر کو جاری رکھ سکتے ہیں۔ آپ کی ادائیگی مکمل ہو گئی ہے۔,Acum poți continua călătoria ta de învățare. Plata ta a fost procesată.,اکنون می‌توانید به سفر یادگیری خود ادامه دهید. پرداخت شما پردازش شده است.,Vous pouvez maintenant continuer votre parcours d'apprentissage. Votre paiement a été traité.,अब आप अपनी सीखने की यात्रा जारी रख सकते हैं। आपका भुगतान संसाधित हो गया है।,يمكنك الآن متابعة رحلتك التعليمية. تمت معالجة دفعتك.,ਤੁਸੀਂ ਹੁਣ ਆਪਣੇ ਸਿੱਖਣ ਦੇ ਯਾਤਰਾ 'ਤੇ ਜਾਰੀ ਰੱਖ ਸਕਦੇ ਹੋ। ਤੁਹਾਡਾ ਭੁਗਤਾਨ ਪ੍ਰਕਿਰਿਆ ਹੋ ਗਿਆ ਹੈ।,Ahora puedes continuar con tu viaje de aprendizaje. Tu pago ha sido procesado.,Sie können jetzt Ihre Lernreise fortsetzen. Ihre Zahlung wurde verarbeitet.,学習の旅を続けることができます。支払いが処理されました。,이제 학습 여정을 계속할 수 있습니다. 결제가 처리되었습니다.,Тепер ви можете продовжити свою навчальну подорож. Ваша оплата була оброблена.,تاسو اوس کولی شئ په خپل زده کړې سفر کې دوام ورکړئ. ستاسو تادیه پروسس شوې ده.,您现在可以继续您的学习之旅。您的付款已被处理。
pie.app.restart,Restart,Restart,دوبارہ شروع کریں,Repornire,راه‌اندازی مجدد,Redémarrer,पुनः प्रारंभ करें,إعادة التشغيل,ਮੁੜ ਸ਼ੁਰੂ ਕਰੋ,Reiniciar,Neustart,再起動,다시 시작,Перезапустити,بیا پیل,重启
pie.app.audio_devices.off,Audio off,Audio off,آواز بند,Sunet oprit,صدا خاموش,Audio désactivé,ऑडियो बंद,الصوت مغلق,ਆਡੀਓ ਬੰਦ,Audio apagado,Audio aus,オーディオオフ,오디오 끄기,Аудіо вимкнено,آډیو بنده,音频关闭
global.sessions,Sessions,Sessions,اجلاس,Sesiuni,جلسات,Sessions,सत्र,الجلسات,ਸੈਸ਼ਨ,Sesiones,Sitzungen,セッション,세션,Сесії,غونډې,会话
label.text.ticket_already_purchased,You've already purchased the ticket for this course. Click the button below to access the course.,You've already purchased the ticket for this course. Click the button below to access the course.,آپ نے اس کورس کا ٹکٹ پہلے ہی خرید لیا ہے۔ کورس تک رسائی کے لیے نیچے دیے گئے بٹن پر کلک کریں۔,Ai achiziționat deja biletul pentru acest curs. Apasă butonul de mai jos pentru a accesa cursul.,شما قبلاً بلیط این دوره را خریداری کرده‌اید. برای دسترسی به دوره، روی دکمه زیر کلیک کنید.,Vous avez déjà acheté le billet pour ce cours. Cliquez sur le bouton ci-dessous pour accéder au cours.,आपने इस पाठ्यक्रम के लिए पहले ही टिकट खरीद लिया है। पाठ्यक्रम तक पहुंचने के लिए नीचे दिए गए बटन पर क्लिक करें।,لقد اشتريت بالفعل التذكرة لهذه الدورة. انقر على الزر أدناه للوصول إلى الدورة.,ਤੁਸੀਂ ਇਸ ਕੋਰਸ ਲਈ ਪਹਿਲਾਂ ਹੀ ਟਿਕਟ ਖਰੀਦ ਚੁੱਕੇ ਹੋ। ਕੋਰਸ ਤੱਕ ਪਹੁੰਚ ਕਰਨ ਲਈ ਹੇਠਾਂ ਦਿੱਤੇ ਬਟਨ 'ਤੇ ਕਲਿਕ ਕਰੋ।,Ya has comprado el boleto para este curso. Haz clic en el botón de abajo para acceder al curso.,"Sie haben das Ticket für diesen Kurs bereits gekauft. Klicken Sie auf die Schaltfläche unten, um auf den Kurs zuzugreifen.",このコースのチケットを既に購入しています。以下のボタンをクリックしてコースにアクセスしてください。,이미 이 코스에 대한 티켓을 구매했습니다. 코스에 접근하려면 아래 버튼을 클릭하세요.,"Ви вже придбали квиток на цей курс. Натисніть кнопку нижче, щоб отримати доступ до курсу.",تاسو دمخه د دې کورس لپاره ټکټ اخیستی دی. لاندې تڼۍ کلیک کړئ ترڅو کورس ته لاسرسی ومومئ.,您已购买此课程的门票。点击下面的按钮进入课程。
global.ipaddress,IP address,IP address,آئی پی ایڈریس,Adresă IP,نشانی IP,Adresse IP,आईपी पता,عنوان IP,IP ਪਤਾ,Dirección IP,IP-Adresse,IPアドレス,IP 주소,IP-адреса,IP پته,IP地址
pie.broadcast.error.msg.stream_timeout_error,There's been a timeout error in processing the stream from your browser. Kindly refresh.,There's been a timeout error in processing the stream from your browser. Kindly refresh.,آپ کے براؤزر سے اسٹریم کی پروسیسنگ میں ٹائم آؤٹ کی خرابی ہوئی ہے۔ براہ کرم ریفریش کریں۔,A apărut o eroare de timeout în procesarea fluxului din browserul dumneavoastră. Vă rugăm să reîmprospătați.,در پردازش جریان از مرورگر شما خطای زمان‌بندی رخ داده است. لطفاً صفحه را تازه کنید.,Il y a eu une erreur de délai d'attente lors du traitement du flux depuis votre navigateur. Veuillez actualiser.,आपके ब्राउज़र से स्ट्रीम को संसाधित करने में एक टाइमआउट त्रुटि हुई है। कृपया रीफ्रेश करें।,حدث خطأ في المهلة أثناء معالجة الدفق من المتصفح الخاص بك. يرجى التحديث.,ਤੁਹਾਡੇ ਬ੍ਰਾਊਜ਼ਰ ਤੋਂ ਸਟ੍ਰੀਮ ਪ੍ਰਕਿਰਿਆ ਕਰਨ ਵਿੱਚ ਸਮਾਂ ਖਤਮ ਹੋਣ ਦੀ ਗਲਤੀ ਆਈ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਤਾਜ਼ਾ ਕਰੋ।,"Ha habido un error de tiempo de espera al procesar la transmisión desde tu navegador. Por favor, actualiza.",Beim Verarbeiten des Streams aus Ihrem Browser ist ein Timeout-Fehler aufgetreten. Bitte aktualisieren.,ブラウザからのストリームの処理中にタイムアウトエラーが発生しました。更新してください。,브라우저에서 스트림을 처리하는 동안 시간 초과 오류가 발생했습니다. 새로고침하세요.,"Виникла помилка тайм-ауту під час обробки потоку з вашого браузера. Будь ласка, оновіть.",ستاسو د براوزر څخه د جریان پروسس کولو کې د وخت تېروتنه شوې ده. مهرباني وکړئ تازه کړئ.,处理来自您浏览器的流时出现超时错误。请刷新。
pie.common.converting,Step 2 of 2 - Converting,Step 2 of 2 - Converting,مرحلہ 2 کا 2 - تبدیل کرنا,Pasul 2 din 2 - Conversie,مرحله ۲ از ۲ - در حال تبدیل,Étape 2 sur 2 - Conversion,चरण 2 का 2 - रूपांतरित करना,الخطوة 2 من 2 - التحويل,ਕਦਮ 2 ਵਿੱਚੋਂ 2 - ਰੂਪਾਂਤਰਿਤ ਕਰਨਾ,Paso 2 de 2 - Convirtiendo,Schritt 2 von 2 - Konvertierung,ステップ2/2 - 変換中,2단계 중 2단계 - 변환 중,Крок 2 з 2 - Перетворення,دوهم ګام د ۲ څخه - بدلول,步骤 2/2 - 转换中
site.content.all_sessions,All Sessions,All Sessions,تمام سیشنز,Toate sesiunile,همه جلسات,Toutes les sessions,सभी सत्र,جميع الجلسات,ਸਾਰੇ ਸੈਸ਼ਨ,Todas las sesiones,Alle Sitzungen,すべてのセッション,모든 세션,Усі сесії,ټولې غونډې,所有会议
pie.common.download,Download,Download,ڈاؤن لوڈ,Descărcare,دانلود,Télécharger,डाउनलोड,تحميل,ਡਾਊਨਲੋਡ,Descargar,Herunterladen,ダウンロード,다운로드,Завантажити,ډاونلوډ,下载
coursemember.status.privatecourse.request.accepted,Trainer has accepted you request,Trainer has accepted you request,ٹرینر نے آپ کی درخواست قبول کر لی ہے۔,Antrenorul ți-a acceptat cererea,مربی درخواست شما را پذیرفته است.,Le formateur a accepté votre demande,प्रशिक्षक ने आपका अनुरोध स्वीकार कर लिया है,قبل المدرب طلبك,ਟ੍ਰੇਨਰ ਨੇ ਤੁਹਾਡੀ ਬੇਨਤੀ ਸਵੀਕਾਰ ਕੀਤੀ ਹੈ,El entrenador ha aceptado tu solicitud,Trainer hat Ihre Anfrage akzeptiert,トレーナーがあなたのリクエストを受け入れました,트레이너가 요청을 수락했습니다,Тренер прийняв ваш запит,روزونکي ستاسو غوښتنه منلې ده,培训师已接受您的请求。
pie.polldisplay.novotesyet,It's quiet in here. Vote now.,It's quiet in here. Vote now.,یہاں خاموشی ہے۔ ابھی ووٹ دیں۔,E liniște aici. Votează acum.,اینجا آرام است. اکنون رأی دهید.,C'est calme ici. Votez maintenant.,यहां शांति है। अब वोट करें।,إنه هادئ هنا. صوت الآن.,ਇੱਥੇ ਸ਼ਾਂਤੀ ਹੈ। ਹੁਣ ਵੋਟ ਕਰੋ।,Está tranquilo aquí. Vota ahora.,Es ist ruhig hier. Jetzt abstimmen.,ここは静かです。今すぐ投票してください。,여기는 조용합니다. 지금 투표하세요.,Тут тихо. Голосуйте зараз.,دلته ارام دی. اوس رایه ورکړئ.,这里很安静。现在投票。
label.text.start_assignment,Start Assignment,Start Assignment,اسائنمنٹ شروع کریں,Începeți sarcina,شروع تکلیف,Commencer l'exercice,असाइनमेंट शुरू करें,بدء الواجب,ਅਸਾਈਨਮੈਂਟ ਸ਼ੁਰੂ ਕਰੋ,Iniciar tarea,Aufgabe starten,課題を開始,과제 시작,Почати завдання,دنده پیل کړئ,开始任务
